"","location","continent","development","total_cases_per_million","new_cases_per_million","total_deaths_per_million","stringency_index","population","population_density","median_age","aged_65_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","hospital_beds_per_thousand","life_expectancy","human_development_index"
"39","Comoros","Africa","low",626.729,0,8.05,31.48,869595,437.352,20.4,2.963,1413.89,18.1,261.516,11.88,2.2,64.32,0.503
"40","Cape Verde","Africa","medium",15975.165,61.152,170.867,71.3,555988,135.58,25.7,4.46,6222.554,1.3,182.219,2.42,2.1,72.98,0.654
"41","Costa Rica","North America","high",21840.304,252.448,275.612,55.56,5094114,96.079,33.6,9.468,15524.995,1.3,137.973,8.78,1.13,80.28,0.794
"42","Cuba","North America","high",615.365,3.09,11.389,57.41,11326616,110.408,43.1,14.738,28763.071,0.1,190.968,8.27,5.2,78.8,0.777
"43","Cyprus","Europe","very high",5434.417,224.912,29.684,69.44,875899,127.657,37.3,13.416,32415.132,0.2,141.171,9.24,3.4,80.98,0.869
"44","Czech Republic","Europe","very high",32766.513,863.948,341.209,73.15,10708982,137.176,43.3,19.027,32605.906,1.5,227.485,6.82,6.63,79.38,0.888
"45","Germany","Europe","very high",6688.382,183.233,127.244,59.26,83783945,237.016,46.6,21.453,45229.245,0.2,156.139,8.31,8,81.33,0.936
"46","Djibouti","Africa","low",5640.677,10.121,61.741,43.52,988002,41.285,25.4,4.213,2705.406,22.5,258.037,6.05,1.4,67.11,0.476
"47","Dominica","North America","high",583.406,0,0.084,27.78,71991,98.567,37.9,13.26,9673.367,0.5,227.376,11.62,3.8,75,0.715
"48","Denmark","Europe","very high",8328.61,162.632,124.996,39.81,5792203,136.52,42.3,19.677,46682.515,0.2,114.767,6.41,2.5,80.9,0.929
"49","Dominican Republic","North America","high",11761.811,23.876,207.413,64.81,10847904,222.873,27.6,6.981,14600.861,1.6,266.653,8.2,1.6,74.08,0.736
"50","Algeria","Africa","high",1335.749,6.887,45.153,75,43851043,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,1.9,76.88,0.754
"51","Ecuador","South America","high",9610.691,20.858,719.376,50,17643060,66.939,28.1,7.104,10581.936,3.6,140.448,5.55,1.5,77.01,0.752
"52","Egypt","Africa","medium",1054.631,1.847,61.475,60.19,102334403,97.999,25.3,5.159,10550.206,1.3,525.432,17.31,1.6,71.99,0.696
"53","Eritrea","Africa","low",130.554,0,2.492,86.11,3546427,44.304,19.3,3.607,1510.459,49.2,311.11,6.05,0.7,66.32,0.44
"54","Spain","Europe","very high",26935.554,399.296,780.562,71.3,46754783,93.105,45.5,19.436,34272.36,1,99.403,7.17,2.97,83.56,0.891
